,n,Obs,No dummies,Soft bottom,"Soft bottom, Natural","Soft bottom, Natural, Large"
1987,6.0,0.0,0.9828460038986355,0.9847953216374269,0.9847953216374269,0.9789473684210527
1988,13.0,0.38461538461538464,0.9516569200779728,0.9469785575048733,0.9649122807017544,0.9617933723196881
1989,6.0,0.3333333333333333,0.9723196881091618,0.9715399610136453,0.9715399610136453,0.9707602339181286
1990,4.0,0.0,0.9766081871345029,0.9719298245614035,0.979337231968811,0.9789473684210527
1991,8.0,0.375,0.9750487329434698,0.9758284600389864,0.9789473684210527,0.9797270955165692
1992,14.0,0.5,0.9859649122807017,0.9859649122807017,0.9851851851851852,0.9859649122807017
1993,14.0,0.5,0.9734892787524366,0.9738791423001949,0.9738791423001949,0.9719298245614035
1994,12.0,0.5833333333333334,0.9348927875243664,0.935672514619883,0.9407407407407408,0.9536062378167641
1995,10.0,0.6,0.9309941520467836,0.9247563352826511,0.9337231968810916,0.9333333333333333
1996,17.0,0.5294117647058824,0.9056530214424952,0.9083820662768031,0.9083820662768031,0.901364522417154
1997,26.0,0.6923076923076923,0.9321637426900585,0.9298245614035088,0.9341130604288499,0.9477582846003899
1998,16.0,0.6875,0.9454191033138402,0.949317738791423,0.9352826510721247,0.9341130604288499
1999,9.0,0.7777777777777778,0.9157894736842105,0.9091617933723197,0.9072124756335282,0.9115009746588694
2000,38.0,0.4473684210526316,0.8401559454191033,0.839766081871345,0.8401559454191033,0.8401559454191033
2001,135.0,0.5481481481481482,0.797270955165692,0.7964912280701755,0.789083820662768,0.7902534113060429
2002,153.0,0.5163398692810458,0.7949317738791423,0.7953216374269005,0.7937621832358674,0.7961013645224172
2003,114.0,0.6578947368421053,0.6927875243664717,0.6865497076023391,0.6682261208576998,0.6697855750487329
2004,34.0,0.6764705882352942,0.7859649122807018,0.7871345029239766,0.7859649122807018,0.7910331384015594
2005,30.0,0.6,0.5621832358674463,0.5360623781676414,0.5200779727095517,0.5185185185185185
2006,77.0,0.5324675324675324,0.464327485380117,0.4635477582846004,0.4818713450292398,0.49551656920077974
2007,228.0,0.5175438596491229,0.5001949317738792,0.49746588693957117,0.5021442495126706,0.5103313840155945
2008,84.0,0.5,0.45419103313840153,0.45263157894736844,0.4678362573099415,0.4678362573099415
2009,124.0,0.5806451612903226,0.4522417153996101,0.45263157894736844,0.47251461988304094,0.4740740740740741
2010,259.0,0.4942084942084942,0.44678362573099417,0.44678362573099417,0.4576998050682261,0.45692007797270956
2011,231.0,0.6190476190476191,0.4612085769980507,0.4651072124756335,0.4830409356725146,0.4810916179337232
2012,231.0,0.5757575757575758,0.40116959064327484,0.4077972709551657,0.42923976608187137,0.42923976608187137
2013,261.0,0.5095785440613027,0.41130604288499023,0.41091617933723196,0.4280701754385965,0.4280701754385965
2014,551.0,0.3176043557168784,0.3762183235867446,0.3840155945419103,0.38596491228070173,0.38596491228070173
2015,186.0,0.27419354838709675,0.3727095516569201,0.37855750487329437,0.3894736842105263,0.3894736842105263
2016,227.0,0.31277533039647576,0.36686159844054583,0.36920077972709553,0.3750487329434698,0.3746588693957115
2017,581.0,0.46815834767641995,0.3762183235867446,0.3847953216374269,0.38635477582846006,0.38635477582846006
2018,542.0,0.4280442804428044,0.3723196881091618,0.3828460038986355,0.38635477582846006,0.38635477582846006
2019,250.0,0.372,0.37543859649122807,0.38362573099415204,0.39649122807017545,0.3961013645224172
2020,393.0,0.3053435114503817,0.3586744639376218,0.36101364522417156,0.37348927875243665,0.3742690058479532
2021,287.0,0.627177700348432,0.35555555555555557,0.37037037037037035,0.37816764132553604,0.37348927875243665
2022,220.0,0.8454545454545455,0.3684210526315789,0.3769980506822612,0.3797270955165692,0.38635477582846006
2023,28.0,0.8214285714285714,0.15633528265107213,0.1649122807017544,0.17660818713450294,0.18596491228070175
Total,5419.0,0.4762871378483115,0.4427746284371608,0.4475490360068015,0.45448945609394703,0.45524407479710954
