j,t,v,Q,ln y,D age,ln PSL,ln PAL,SL,D lake,N
lakes,1989,129,2.8924408551371164,,,,,,,
lakes,1990,129,2.8924408551371164,1.401851384805168,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2740.0
lakes,1991,129,2.8924408551371164,1.4186086580300914,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2735.0
lakes,1992,129,2.8924408551371164,1.4314917237686657,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2737.0
lakes,1993,129,2.8924408551371164,1.4125495028018404,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2757.0
lakes,1994,129,2.8924408551371164,1.48054138845055,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2764.0
lakes,1995,129,2.8924408551371164,1.5131922456882223,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2764.0
lakes,1996,129,2.8924408551371164,1.520597505493577,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2746.0
lakes,1997,129,2.8924408551371164,1.54069621707584,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2756.0
lakes,1998,129,2.8924408551371164,1.5540861135482045,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2773.0
lakes,1999,129,2.8924408551371164,1.5526417678390272,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2768.0
lakes,2000,129,2.8924408551371164,1.5780771580275799,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2770.0
lakes,2001,129,2.8924408551371164,1.5971416862352033,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2771.0
lakes,2002,129,2.8924408551371164,1.5871792419724438,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2742.0
lakes,2003,129,2.8924408551371164,1.5575745804475745,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2750.0
lakes,2004,129,2.8924408551371164,1.590770704314586,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2753.0
lakes,2005,129,2.8924408551371164,1.6068396904701765,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2759.0
lakes,2006,129,2.8924408551371164,1.6471661582007942,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2736.0
lakes,2007,129,2.8924408551371164,1.6618127855692253,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2732.0
lakes,2008,129,2.8924408551371164,1.6025893862996567,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2729.0
lakes,2009,129,2.8924408551371164,1.5620597458751715,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2727.0
lakes,2010,129,2.8924408551371164,1.5951909129129083,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2721.0
lakes,2011,129,2.8924408551371164,1.6001829863811459,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2712.0
lakes,2012,129,2.8924408551371164,1.6150629525258355,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2700.0
lakes,2013,129,2.8924408551371164,1.652926317328959,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2680.0
lakes,2014,129,2.8924408551371164,1.630573443483628,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2678.0
lakes,2015,129,2.8924408551371164,1.6599907947905808,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2651.0
lakes,2016,129,2.8924408551371164,1.6504783878951959,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2610.0
lakes,2017,129,2.8924408551371164,1.709531032806077,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2598.0
lakes,2018,129,2.8924408551371164,1.6786042180271545,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2575.0
lakes,2019,129,2.8924408551371164,1.6471939454774267,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2552.0
lakes,2020,129,2.8924408551371164,1.61913392540015,0.0,-4.918955579268851,-0.4772640932611675,0.002402415042764512,1.0,2529.0
